#time,"""value"" from seq_no"
2018-03-28T07:08:29.248Z,122449
2018-03-28T07:16:14.825Z,122450
2018-03-28T07:16:14.827Z,122450
2018-03-28T07:16:14.87Z,122450
2018-03-28T07:24:07.956Z,122451
2018-03-28T07:24:07.96Z,122451
2018-03-28T07:31:52.368Z,122452
2018-03-28T07:39:31.689Z,122453
2018-03-28T07:39:31.72Z,122453
2018-03-28T07:47:16.825Z,122454
2018-03-28T07:54:56.23Z,122455
2018-03-28T08:02:36.922Z,122456
2018-03-28T08:10:11.663Z,122457
2018-03-28T08:17:52.653Z,122458
2018-03-28T14:41:44.03Z,122460
2018-03-28T14:41:44.036Z,122460
2018-03-28T14:54:15.627Z,122462
2018-03-28T14:59:28.399Z,122463
2018-03-28T15:04:12.462Z,122464
2018-03-28T15:04:12.467Z,122464
2018-03-28T15:08:13.724Z,122465
2018-03-28T15:11:52.766Z,122466
2018-03-28T15:11:52.81Z,122466
2018-03-28T15:14:55.82Z,122467
2018-03-28T15:14:55.822Z,122467
2018-03-28T15:14:55.856Z,122467
2018-03-28T15:17:39.712Z,122468
2018-03-28T15:17:39.715Z,122468
2018-03-28T15:20:03.113Z,122469
2018-03-28T15:22:14.705Z,122470
2018-03-28T15:22:14.712Z,122470
2018-03-28T15:24:16.051Z,122471
2018-03-28T15:24:16.105Z,122471
2018-03-28T15:26:14.008Z,122472
2018-03-28T15:26:14.042Z,122472
2018-03-28T15:29:50.987Z,122474
2018-03-28T15:29:50.991Z,122474
2018-03-28T15:31:30.917Z,122475
2018-03-28T15:33:09.267Z,122476
2018-03-28T15:34:45.123Z,122477
2018-03-28T15:36:18.543Z,122478
2018-03-28T15:36:18.58Z,122478
2018-03-28T15:37:49.541Z,122479
2018-03-28T15:39:17.921Z,122480
2018-03-28T15:42:10.872Z,122482
2018-03-28T15:42:10.907Z,122482
2018-03-28T15:42:10.907Z,122482
2018-03-28T15:44:57.146Z,122484
2018-03-28T15:46:20.024Z,122485
2018-03-28T15:46:20.056Z,122485
2018-03-28T15:46:20.061Z,122485
2018-03-28T15:47:41.336Z,122486
2018-03-28T15:47:41.343Z,122486
2018-03-28T15:49:00.715Z,122487
2018-03-28T15:50:19.306Z,122488
2018-03-28T15:51:37.261Z,122489
2018-03-28T15:54:09.33Z,122491
2018-03-28T15:54:09.331Z,122491
2018-03-28T15:55:22.718Z,122492
2018-03-28T15:56:37.729Z,122493
2018-03-28T15:57:49.7Z,122494
2018-03-28T15:57:49.736Z,122494
2018-03-28T15:57:49.737Z,122494
2018-03-28T15:59:00.68Z,122495
2018-03-28T15:59:00.685Z,122495
2018-03-28T15:59:00.715Z,122495
2018-03-28T16:00:12.394Z,122496
2018-03-28T16:00:12.398Z,122496
2018-03-28T16:01:22.354Z,122497
2018-03-28T16:01:22.359Z,122497
2018-03-28T16:02:29.463Z,122498
2018-03-28T16:02:29.465Z,122498
2018-03-28T16:03:36.662Z,122499
2018-03-28T16:04:43.886Z,122500
2018-03-28T16:05:49.004Z,122501
2018-03-28T16:05:49.01Z,122501
2018-03-28T16:06:52.267Z,122502
2018-03-28T16:07:54.705Z,122503
2018-03-28T16:08:58.394Z,122504
2018-03-28T16:08:58.4Z,122504
2018-03-28T16:10:01.363Z,122505
2018-03-28T16:10:01.368Z,122505
2018-03-28T16:11:01.959Z,122506
2018-03-28T16:12:03.857Z,122507
2018-03-28T16:12:03.862Z,122507
2018-03-28T16:13:02.962Z,122508
2018-03-28T16:13:02.972Z,122508
2018-03-28T16:14:01.89Z,122509
2018-03-28T16:15:02.081Z,122510
2018-03-28T16:15:02.111Z,122510
2018-03-28T16:16:01.84Z,122511
2018-03-28T16:16:01.865Z,122511
2018-03-28T16:17:00.546Z,122512
2018-03-28T16:17:00.547Z,122512
2018-03-28T16:17:57.673Z,122513
2018-03-28T16:17:57.679Z,122513
2018-03-28T16:18:54.441Z,122514
2018-03-28T16:19:52.446Z,122515
2018-03-28T16:19:52.446Z,122515
2018-03-28T16:21:45.295Z,122517
2018-03-28T16:22:40.84Z,122518
2018-03-28T16:22:40.841Z,122518
2018-03-28T16:23:37.484Z,122519
2018-03-28T16:24:34.444Z,122520
2018-03-28T16:25:29.684Z,122521
2018-03-28T16:25:29.686Z,122521
2018-03-28T16:27:18.437Z,122523
2018-03-28T16:27:18.438Z,122523
2018-03-28T16:28:12.831Z,122524
2018-03-28T16:28:12.836Z,122524
2018-03-28T16:29:08.369Z,122525
2018-03-28T16:30:02.969Z,122526
2018-03-28T16:31:52.847Z,122528
2018-03-28T16:31:52.881Z,122528
2018-03-28T16:33:41.856Z,122530
2018-03-28T16:35:29.014Z,122532
2018-03-28T16:37:16.336Z,122534
2018-03-28T16:37:16.338Z,122534
2018-03-28T16:39:52.248Z,122537
2018-03-28T16:39:52.249Z,122537
2018-03-28T16:41:34.824Z,122539
2018-03-28T16:41:34.828Z,122539
2018-03-28T16:42:25.494Z,122540
2018-03-28T16:42:25.495Z,122540
2018-03-28T16:43:15.929Z,122541
2018-03-28T16:43:15.93Z,122541
2018-03-28T16:44:07.868Z,122542
2018-03-28T16:45:49.976Z,122544
2018-03-28T16:45:49.978Z,122544
2018-03-28T16:45:50.013Z,122544
2018-03-28T16:46:41.504Z,122545
2018-03-28T16:46:41.507Z,122545
2018-03-28T16:46:41.539Z,122545
2018-03-28T16:46:41.541Z,122545
2018-03-28T16:48:22.293Z,122547
2018-03-28T16:48:22.295Z,122547
2018-03-28T16:49:12.77Z,122548
2018-03-28T16:49:12.772Z,122548
2018-03-28T16:49:12.806Z,122548
2018-03-28T16:49:12.807Z,122548
2018-03-28T16:50:03.154Z,122549
2018-03-28T16:50:03.156Z,122549
2018-03-28T16:50:51.719Z,122550
2018-03-28T16:50:51.72Z,122550
2018-03-28T16:50:51.755Z,122550
2018-03-28T16:50:51.756Z,122550
2018-03-28T16:51:41.334Z,122551
2018-03-28T16:51:41.334Z,122551
2018-03-28T16:52:29.13Z,122552
2018-03-28T16:52:29.132Z,122552
2018-03-28T16:52:29.165Z,122552
2018-03-28T16:53:18.211Z,122553
2018-03-28T16:53:18.212Z,122553
2018-03-28T16:54:07.052Z,122554
2018-03-28T16:54:07.057Z,122554
2018-03-28T16:54:07.085Z,122554
2018-03-28T16:54:07.087Z,122554
2018-03-28T16:55:43.081Z,122556
2018-03-28T16:55:43.085Z,122556
2018-03-28T16:56:29.279Z,122557
2018-03-28T16:57:15.213Z,122558
2018-03-28T16:57:15.215Z,122558
2018-03-28T16:58:48.054Z,122560
2018-03-28T16:58:48.056Z,122560
2018-03-28T16:59:34.841Z,122561
2018-03-28T16:59:34.842Z,122561
2018-03-28T17:01:51.047Z,122564
2018-03-28T17:02:35.574Z,122565
2018-03-28T17:03:20.007Z,122566
2018-03-28T17:03:20.009Z,122566
2018-03-28T17:04:04.336Z,122567
2018-03-28T17:04:04.339Z,122567
2018-03-28T17:04:49.315Z,122568
2018-03-28T17:06:17.174Z,122570
2018-03-28T17:06:17.175Z,122570
2018-03-28T17:07:01.134Z,122571
2018-03-28T17:07:01.136Z,122571
2018-03-28T17:07:01.167Z,122571
2018-03-28T17:07:01.174Z,122571
2018-03-28T17:07:45.557Z,122572
2018-03-28T17:08:30.114Z,122573
2018-03-28T17:08:30.116Z,122573
2018-03-28T17:09:12.973Z,122574
2018-03-28T17:09:12.978Z,122574
2018-03-28T17:10:38.556Z,122576
2018-03-28T17:12:05.219Z,122578
2018-03-28T17:12:47.156Z,122579
2018-03-28T17:12:47.157Z,122579
2018-03-28T17:13:30.334Z,122580
2018-03-28T17:13:30.369Z,122580
2018-03-28T17:14:13.114Z,122581
2018-03-28T17:14:13.151Z,122581
2018-03-28T17:14:55.387Z,122582
2018-03-28T17:14:55.393Z,122582
2018-03-28T17:15:37.757Z,122583
2018-03-28T17:15:37.762Z,122583
2018-03-28T17:16:18.703Z,122584
2018-03-28T17:16:18.703Z,122584
2018-03-28T17:16:18.739Z,122584
2018-03-28T17:17:00.603Z,122585
2018-03-28T17:17:00.639Z,122585
2018-03-28T17:17:42.269Z,122586
2018-03-28T17:18:22.643Z,122587
2018-03-28T17:18:22.659Z,122587
2018-03-28T17:19:04.206Z,122588
2018-03-28T17:19:45.511Z,122589
2018-03-28T17:20:26.495Z,122590
2018-03-28T17:21:05.789Z,122591
2018-03-28T17:21:05.791Z,122591
2018-03-28T17:21:46.298Z,122592
2018-03-28T17:21:46.301Z,122592
2018-03-28T17:23:05.55Z,122594
2018-03-28T17:23:05.555Z,122594
2018-03-28T17:23:45.486Z,122595
2018-03-28T17:23:45.523Z,122595
2018-03-28T17:24:25.354Z,122596
2018-03-28T17:24:25.359Z,122596
2018-03-28T17:25:04.403Z,122597
2018-03-28T17:25:04.405Z,122597
2018-03-28T17:25:42.966Z,122598
2018-03-28T17:25:43.002Z,122598
2018-03-28T17:26:22.678Z,122599
2018-03-28T17:27:02.525Z,122600
2018-03-28T17:27:02.53Z,122600
2018-03-28T17:27:42.46Z,122601
2018-03-28T17:28:23.49Z,122602
2018-03-28T17:29:03.925Z,122603
2018-03-28T17:29:03.925Z,122603
2018-03-28T17:29:03.961Z,122603
2018-03-28T17:29:44.379Z,122604
2018-03-28T17:30:23.664Z,122605
2018-03-28T17:30:23.667Z,122605
2018-03-28T17:31:01.671Z,122606
2018-03-28T17:31:01.672Z,122606
2018-03-28T17:31:40.458Z,122607
2018-03-28T17:31:40.46Z,122607
2018-03-28T17:32:12.298Z,122608
2018-03-28T17:32:47.277Z,122609
2018-03-28T17:32:47.278Z,122609
2018-03-28T17:33:21.011Z,122610
2018-03-28T17:33:55.861Z,122611
2018-03-28T17:33:55.897Z,122611
2018-03-28T17:34:29.733Z,122612
2018-03-28T17:34:29.77Z,122612
2018-03-28T17:34:29.774Z,122612
2018-03-28T17:35:03.661Z,122613
2018-03-28T17:35:03.694Z,122613
2018-03-28T17:35:37.715Z,122614
2018-03-28T17:35:37.721Z,122614
2018-03-28T17:36:11.618Z,122615
2018-03-28T17:36:11.629Z,122615
2018-03-28T17:36:44.526Z,122616
2018-03-28T17:37:18.432Z,122617
2018-03-28T17:37:51.605Z,122618
